study_id,study_name,trial_id,trial_number,param_name,param_value,value
1,azure_first,4,3,lr,0.0006941601704158985,1.7376950979232788
1,azure_first,4,3,units,672,1.7376950979232788
1,azure_first,5,4,lr,0.0023119271187206896,1.7465760707855225
1,azure_first,5,4,units,208,1.7465760707855225
1,azure_first,6,5,lr,0.002826447431328091,1.7676892280578613
1,azure_first,6,5,units,145,1.7676892280578613
1,azure_first,7,6,lr,0.0002975290224126507,1.7486897706985474
1,azure_first,7,6,units,503,1.7486897706985474
1,azure_first,8,7,lr,0.009253015723335629,1.7596439123153687
1,azure_first,8,7,units,830,1.7596439123153687
13,vscode_2,18,0,lr,0.00019193296777010748,1.8498051166534424
13,vscode_2,18,0,units,87,1.8498051166534424
13,vscode_2,21,1,lr,0.007972324984260856,1.736730694770813
13,vscode_2,21,1,units,465,1.736730694770813
13,vscode_2,23,2,lr,0.00023060679185324013,1.7670695781707764
13,vscode_2,23,2,units,461,1.7670695781707764
13,vscode_2,26,3,lr,0.0009974750670284427,1.7245666980743408
13,vscode_2,26,3,units,249,1.7245666980743408
13,vscode_2,29,4,lr,0.0022184500479481705,1.7209254503250122
13,vscode_2,29,4,units,848,1.7209254503250122
13,vscode_2,32,5,lr,0.0002815976268267146,1.7331995964050293
13,vscode_2,32,5,units,865,1.7331995964050293
13,vscode_2,35,6,lr,0.00035948964897359296,1.7560124397277832
13,vscode_2,35,6,units,510,1.7560124397277832
13,vscode_2,37,7,lr,0.00032888098935395356,1.767874836921692
13,vscode_2,37,7,units,274,1.767874836921692
13,vscode_2,40,8,lr,0.000800468377023919,1.7141531705856323
13,vscode_2,40,8,units,693,1.7141531705856323
13,vscode_2,42,9,lr,0.00031969316689904186,1.7557988166809082
13,vscode_2,42,9,units,856,1.7557988166809082
13,vscode_2,45,10,lr,0.001188866292373195,1.7172670364379883
13,vscode_2,45,10,units,663,1.7172670364379883
13,vscode_2,48,11,lr,0.0012868933814830649,1.7173343896865845
13,vscode_2,48,11,units,681,1.7173343896865845
13,vscode_2,51,12,lr,0.0008910254366939033,1.727175235748291
13,vscode_2,51,12,units,640,1.727175235748291
13,vscode_2,53,13,lr,0.0032347523902132155,1.7949388027191162
13,vscode_2,53,13,units,985,1.7949388027191162
14,kaggle_1,20,1,lr,0.0032439905363996747,1.7072502374649048
14,kaggle_1,20,1,units,996,1.7072502374649048
14,kaggle_1,22,2,lr,0.0015356495726913974,1.7103919982910156
14,kaggle_1,22,2,units,719,1.7103919982910156
14,kaggle_1,24,3,lr,0.00020443546107944298,1.800020456314087
14,kaggle_1,24,3,units,311,1.800020456314087
14,kaggle_1,25,4,lr,0.0032767673221890483,1.7872709035873413
14,kaggle_1,25,4,units,563,1.7872709035873413
14,kaggle_1,27,5,lr,0.008072274420036604,1.8094621896743774
14,kaggle_1,27,5,units,302,1.8094621896743774
14,kaggle_1,30,6,lr,0.002798865344258621,1.7355924844741821
14,kaggle_1,30,6,units,955,1.7355924844741821
14,kaggle_1,33,7,lr,0.002088000711989346,1.7528870105743408
14,kaggle_1,33,7,units,709,1.7528870105743408
14,kaggle_1,34,8,lr,0.0006697604086874512,1.7102805376052856
14,kaggle_1,34,8,units,765,1.7102805376052856
14,kaggle_1,36,9,lr,0.0002604835899861398,1.8328759670257568
14,kaggle_1,36,9,units,100,1.8328759670257568
14,kaggle_1,38,10,lr,0.005265268544789285,1.6864938735961914
14,kaggle_1,38,10,units,629,1.6864938735961914
14,kaggle_1,39,11,lr,0.009903368331374937,1.8364962339401245
14,kaggle_1,39,11,units,436,1.8364962339401245
14,kaggle_1,41,12,lr,0.004204290424877124,1.784402847290039
14,kaggle_1,41,12,units,1014,1.784402847290039
14,kaggle_1,43,13,lr,0.0007743053044885369,1.720728874206543
14,kaggle_1,43,13,units,860,1.720728874206543
14,kaggle_1,44,14,lr,0.0055849235288514595,1.790798306465149
14,kaggle_1,44,14,units,566,1.790798306465149
14,kaggle_1,47,15,lr,0.0013646067818106548,1.7652745246887207
14,kaggle_1,47,15,units,856,1.7652745246887207
14,kaggle_1,49,16,lr,0.005359090728223664,1.9063562154769897
14,kaggle_1,49,16,units,67,1.9063562154769897
14,kaggle_1,50,17,lr,0.0004045849570212587,1.781376838684082
14,kaggle_1,50,17,units,460,1.781376838684082
14,kaggle_1,52,18,lr,0.00011330078631418601,1.80294930934906
